,No.,combination,n_cols,outlier_replace_with,imputation_knn_weight,FS_classifier_model,balancing_sampling_technique,Model,cols,cf_matrix,accuracy,f1,precision,recall,sensitivity,type_1_error_FP,type_2_error_FN,auc,log_loss_,cohen_kappa_score_,cf_matrix_train,accuracy_train,f1_train,precision_train,recall_train,sensitivity_train,type_1_error_FP_train,type_2_error_FN_train,auc_train
0,1,3s & knn__uniform & BoS__shap & SMOTE & RF,19,3s,knn__uniform,BoS__shap,SMOTE,RF,"Index(['feature_60', 'feature_478', 'feature_133', 'feature_349', 'feature_65',
       'feature_206', 'feature_342', 'feature_435', 'feature_66',
       'feature_299', 'feature_124', 'feature_461', 'feature_283',
       'feature_442', 'feature_164', 'feature_34', 'feature_332', 'feature_22',
       'feature_185'],
      dtype='object')","[[246  47]
 [ 10  11]]",0.8184713375796179,0.2784810126582279,0.1896551724137931,0.5238095238095238,0.5238095238095238,10,47,0.6816999837477653,6.2698975655704725,0.19991059454626736,"[[ 984  186]
 [ 118 1052]]",0.8700854700854701,0.8737541528239202,0.8497576736672051,0.8991452991452992,0.8991452991452992,118,186,0.87008547008547
1,2,3s & knn__uniform & BoS__shap & ROSE & RF,15,3s,knn__uniform,BoS__shap,ROSE,RF,"Index(['feature_60', 'feature_478', 'feature_133', 'feature_349', 'feature_65',
       'feature_206', 'feature_342', 'feature_435', 'feature_66',
       'feature_299', 'feature_164', 'feature_34', 'feature_22', 'feature_442',
       'feature_124'],
      dtype='object')","[[252  41]
 [ 13   8]]",0.8280254777070064,0.22857142857142856,0.16326530612244897,0.38095238095238093,0.38095238095238093,13,41,0.6205103201690233,5.93989397713317,0.14888063447445032,"[[1067  103]
 [ 155 1015]]",0.8897435897435897,0.8872377622377622,0.907871198568873,0.8675213675213675,0.8675213675213675,155,103,0.8897435897435898
2,3,3s & knn__uniform & BoS__shap & SMOTEENN & RF,19,3s,knn__uniform,BoS__shap,SMOTEENN,RF,"Index(['feature_148', 'feature_206', 'feature_342', 'feature_461',
       'feature_133', 'feature_299', 'feature_34', 'feature_60', 'feature_349',
       'feature_442', 'feature_22', 'feature_118', 'feature_478', 'feature_65',
       'feature_435', 'feature_66', 'feature_124', 'feature_164',
       'feature_332'],
      dtype='object')","[[223  70]
 [  5  16]]",0.7611464968152867,0.29906542056074764,0.18604651162790697,0.7619047619047619,0.7619047619047619,5,70,0.7614984560377052,8.249885991842085,0.21463349563129464,"[[663 119]
 [ 39 992]]",0.9128516271373415,0.9262371615312791,0.8928892889288929,0.962172647914646,0.962172647914646,39,119,0.9049993674355838
3,4,3s & knn__uniform & BoS__shap & ADASYN & RF,18,3s,knn__uniform,BoS__shap,ADASYN,RF,"Index(['feature_60', 'feature_478', 'feature_133', 'feature_148',
       'feature_349', 'feature_65', 'feature_206', 'feature_435',
       'feature_342', 'feature_66', 'feature_299', 'feature_164', 'feature_34',
       'feature_22', 'feature_118', 'feature_154', 'feature_442',
       'feature_511'],
      dtype='object')","[[244  49]
 [ 10  11]]",0.8121019108280255,0.2716049382716049,0.18333333333333332,0.5238095238095238,0.5238095238095238,10,49,0.6782870144644888,6.489894864884745,0.19149864711530062,"[[ 956  214]
 [ 119 1036]]",0.8567741935483871,0.8615384615384616,0.8288,0.896969696969697,0.896969696969697,119,214,0.857031857031857
4,5,3s & knn__uniform & RFE__RF & SMOTE & RF,31,3s,knn__uniform,RFE__RF,SMOTE,RF,"Index(['feature_1', 'feature_17', 'feature_20', 'feature_22', 'feature_34',
       'feature_60', 'feature_65', 'feature_82', 'feature_91', 'feature_92',
       'feature_104', 'feature_116', 'feature_118', 'feature_122',
       'feature_125', 'feature_130', 'feature_131', 'feature_134',
       'feature_206', 'feature_288', 'feature_300', 'feature_337',
       'feature_342', 'feature_417', 'feature_421', 'feature_424',
       'feature_427', 'feature_461', 'feature_478', 'feature_489',
       'feature_520'],
      dtype='object')","[[254  39]
 [ 13   8]]",0.8343949044585988,0.2352941176470588,0.1702127659574468,0.38095238095238093,0.38095238095238093,13,39,0.6239232894522997,5.7198966778188955,0.15739498400247698,"[[1048  122]
 [  26 1144]]",0.9367521367521368,0.9392446633825944,0.9036334913112164,0.9777777777777777,0.9777777777777777,26,122,0.9367521367521368
5,6,3s & knn__uniform & RFE__RF & ROSE & RF,31,3s,knn__uniform,RFE__RF,ROSE,RF,"Index(['feature_1', 'feature_17', 'feature_20', 'feature_22', 'feature_32',
       'feature_34', 'feature_60', 'feature_65', 'feature_66', 'feature_92',
       'feature_104', 'feature_116', 'feature_122', 'feature_125',
       'feature_130', 'feature_131', 'feature_148', 'feature_154',
       'feature_206', 'feature_288', 'feature_300', 'feature_320',
       'feature_337', 'feature_342', 'feature_424', 'feature_427',
       'feature_461', 'feature_478', 'feature_489', 'feature_574',
       'feature_582'],
      dtype='object')","[[258  35]
 [ 11  10]]",0.8535031847133758,0.30303030303030304,0.2222222222222222,0.47619047619047616,0.47619047619047616,11,35,0.6783682756379003,5.059909872853339,0.23308909419135593,"[[1070  100]
 [ 140 1030]]",0.8974358974358975,0.8956521739130435,0.911504424778761,0.8803418803418803,0.8803418803418803,140,100,0.8974358974358975
6,7,3s & knn__uniform & RFE__RF & SMOTEENN & RF,31,3s,knn__uniform,RFE__RF,SMOTEENN,RF,"Index(['feature_1', 'feature_17', 'feature_20', 'feature_22', 'feature_32',
       'feature_34', 'feature_60', 'feature_66', 'feature_92', 'feature_103',
       'feature_116', 'feature_122', 'feature_125', 'feature_130',
       'feature_131', 'feature_134', 'feature_153', 'feature_154',
       'feature_206', 'feature_248', 'feature_300', 'feature_337',
       'feature_342', 'feature_385', 'feature_424', 'feature_427',
       'feature_456', 'feature_461', 'feature_478', 'feature_511',
       'feature_582'],
      dtype='object')","[[223  70]
 [  9  12]]",0.7484076433121019,0.23300970873786406,0.14634146341463414,0.5714285714285714,0.5714285714285714,9,70,0.6662603607996099,8.689870404516107,0.14160149491314278,"[[ 619  118]
 [   2 1104]]",0.9348887683125339,0.9484536082474226,0.9034369885433715,0.9981916817359855,0.9981916817359855,2,118,0.919041566783868
7,8,3s & knn__uniform & RFE__RF & ADASYN & RF,31,3s,knn__uniform,RFE__RF,ADASYN,RF,"Index(['feature_1', 'feature_17', 'feature_20', 'feature_22', 'feature_32',
       'feature_34', 'feature_60', 'feature_65', 'feature_66', 'feature_82',
       'feature_92', 'feature_104', 'feature_122', 'feature_130',
       'feature_131', 'feature_148', 'feature_153', 'feature_154',
       'feature_206', 'feature_288', 'feature_300', 'feature_320',
       'feature_337', 'feature_342', 'feature_417', 'feature_427',
       'feature_461', 'feature_478', 'feature_511', 'feature_519',
       'feature_588'],
      dtype='object')","[[261  32]
 [ 13   8]]",0.856687898089172,0.2622950819672132,0.2,0.38095238095238093,0.38095238095238093,13,32,0.6358686819437672,4.949906130218941,0.19137003548128662,"[[1061  109]
 [  38 1105]]",0.9364461738002594,0.9376325837929571,0.9102141680395387,0.9667541557305337,0.9667541557305337,38,109,0.9367958812840703
8,9,3s & knn__uniform & RFE__SVM & SMOTE & RF,31,3s,knn__uniform,RFE__SVM,SMOTE,RF,"Index(['feature_15', 'feature_54', 'feature_57', 'feature_60', 'feature_61',
       'feature_63', 'feature_64', 'feature_73', 'feature_76', 'feature_100',
       'feature_112', 'feature_115', 'feature_118', 'feature_130',
       'feature_131', 'feature_132', 'feature_133', 'feature_165',
       'feature_183', 'feature_217', 'feature_300', 'feature_337',
       'feature_355', 'feature_391', 'feature_425', 'feature_478',
       'feature_525', 'feature_563', 'feature_579', 'feature_589',
       'feature_590'],
      dtype='object')","[[250  43]
 [ 12   9]]",0.8248407643312102,0.24657534246575344,0.17307692307692307,0.42857142857142855,0.42857142857142855,12,43,0.6409068746952706,6.049895173278936,0.16722924100684733,"[[1019  151]
 [  10 1160]]",0.9311965811965812,0.9351068117694479,0.8848207475209764,0.9914529914529915,0.9914529914529915,10,151,0.9311965811965812
9,10,3s & knn__uniform & RFE__SVM & ROSE & RF,31,3s,knn__uniform,RFE__SVM,ROSE,RF,"Index(['feature_15', 'feature_23', 'feature_54', 'feature_57', 'feature_60',
       'feature_61', 'feature_63', 'feature_64', 'feature_72', 'feature_73',
       'feature_74', 'feature_88', 'feature_100', 'feature_112', 'feature_116',
       'feature_118', 'feature_130', 'feature_131', 'feature_133',
       'feature_217', 'feature_275', 'feature_346', 'feature_355',
       'feature_361', 'feature_391', 'feature_425', 'feature_456',
       'feature_478', 'feature_525', 'feature_563', 'feature_589'],
      dtype='object')","[[261  32]
 [ 12   9]]",0.8598726114649682,0.29032258064516125,0.21951219512195122,0.42857142857142855,0.42857142857142855,12,32,0.6596782057532912,4.8399100270504345,0.2214583568128029,"[[1072   98]
 [ 170 1000]]",0.8854700854700854,0.8818342151675483,0.9107468123861566,0.8547008547008547,0.8547008547008547,170,98,0.8854700854700854
